Designator,Mid X,Mid Y,Layer,Rotation,Package,Type
"SW20",133.34,91.725,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW17",50.84,66.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW7",116.84,54.61,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW4",67.34,33.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW3",83.84,33.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW16",67.34,66.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW21",116.84,87.6,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW10",67.34,50.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW14",100.34,66.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW13",116.84,71.1,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW1",116.84,38.1,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW11",50.84,50.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW12",34.34,58.725,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW8",100.34,50.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW22",100.34,83.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW23",83.84,83.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW5",50.84,33.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW2",100.34,33.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW18",34.34,75.225,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW6",34.34,42.225,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW15",83.84,66.975,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW9",83.84,50.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"SW24",67.34,83.475,"top",0.0,"CherryMX_HotSwap_Narrow","SMD"
"D3",91.948,35.272,"top",90.0,"ll","SMD"
"D24",75.438,84.802,"top",90.0,"ll","SMD"
"D7",125.476,61.434,"top",90.0,"ll","SMD"
"D15",91.948,68.292,"top",90.0,"ll","SMD"
"D5",58.928,35.306,"top",90.0,"ll","SMD"
"D6",42.418,43.654,"top",90.0,"ll","SMD"
"D4",75.438,35.306,"top",90.0,"ll","SMD"
"D1",121.954,46.482,"top",0.0,"ll","SMD"
"D23",91.948,84.802,"top",90.0,"ll","SMD"
"D16",75.438,68.292,"top",90.0,"ll","SMD"
"D11",59.0804,51.782,"top",90.0,"ll","SMD"
"D21",123.698,95.758,"top",0.0,"ll","SMD"
"D10",75.438,52.036,"top",90.0,"ll","SMD"
"D20",123.698,98.298,"top",0.0,"ll","SMD"
"D2",108.712,39.59,"top",90.0,"ll","SMD"
"D12",42.418,60.164,"top",90.0,"ll","SMD"
"D22",108.458,89.154,"top",90.0,"ll","SMD"
"D18",42.418,76.166,"top",90.0,"ll","SMD"
"D9",91.948,51.782,"top",90.0,"ll","SMD"
"D17",58.928,68.292,"top",90.0,"ll","SMD"
"D19",135.636,80.5688,"top",270.0,"ll","SMD"
"D8",108.458,56.134,"top",90.0,"ll","SMD"
"D13",122.174,79.248,"top",0.0,"ll","SMD"
"D14",108.458,72.39,"top",90.0,"ll","SMD"
